,argu,loss_fun,class_weight,nl,opt,epochs,error
84,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",Adam,100.0,265.3953649276259
85,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",Adam,200.0,325.5093242422652
86,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",Adam,300.0,249.65261846455667
87,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",RMSprop,100.0,322.21388357136397
88,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",RMSprop,200.0,212.8558169842323
89,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",RMSprop,300.0,295.67553347881324
90,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",SGD,100.0,742.0679054982256
91,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",SGD,200.0,468.57002276304394
92,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",SGD,300.0,536.2177970880366
93,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",Adam,100.0,336.11861531678284
94,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",Adam,200.0,224.61362891284568
95,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",Adam,300.0,267.8300849563504
96,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",RMSprop,100.0,292.28634417980635
97,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",RMSprop,200.0,335.9919682307244
98,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 40]",RMSprop,300.0,269.85557958535486
99,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",SGD,100.0,576.1573610357447
100,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",SGD,200.0,589.6235614313799
101,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",SGD,300.0,457.3810507011851
102,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",Adam,100.0,342.2942938388111
103,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",Adam,200.0,321.603947134355
104,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",Adam,300.0,277.2874090351843
105,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",RMSprop,100.0,336.29935091030086
106,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",RMSprop,200.0,375.8878005704396
107,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 40]",RMSprop,300.0,320.33165402707664
108,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",SGD,100.0,592.9749076270243
109,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",SGD,200.0,427.2406006219794
110,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",SGD,300.0,465.07804101980935
111,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",Adam,100.0,235.73751533676318
112,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",Adam,200.0,259.07236803282274
113,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",Adam,300.0,214.56226070465536
114,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",RMSprop,100.0,242.98190344866222
115,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",RMSprop,200.0,338.36265135677064
116,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 40]",RMSprop,300.0,159.93529372094014
117,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",SGD,100.0,699.1679255380017
