,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
105,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 10]",Adam,300.0,-0.41949863475491156,0.11363636363636363,0.11363636363636363
106,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 10]",RMSprop,150.0,-0.5663931991067762,0.2727272727272727,0.20454545454545456
107,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 10]",RMSprop,300.0,-0.4437221943099021,0.18181818181818182,0.18181818181818182
108,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 10]",Adam,150.0,-0.4107594251383283,0.2727272727272727,0.25
109,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 10]",Adam,300.0,0.5948107607614083,0.36363636363636365,0.29545454545454547
110,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,150.0,-0.04574967929546325,0.20454545454545456,0.11363636363636363
111,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,300.0,0.6513498756519107,0.3409090909090909,0.2727272727272727
112,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 10]",Adam,150.0,-1.1691923254743308,0.13636363636363635,0.11363636363636363
113,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 10]",Adam,300.0,0.28702493379162974,0.18181818181818182,0.13636363636363635
114,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 10]",RMSprop,150.0,-0.7990540287394039,0.18181818181818182,0.1590909090909091
115,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 10]",RMSprop,300.0,0.05040059272744185,0.18181818181818182,0.1590909090909091
116,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40]",Adam,150.0,-0.5919849042479687,0.1590909090909091,0.09090909090909091
117,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40]",Adam,300.0,0.13629923697557556,0.20454545454545456,0.20454545454545456
118,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40]",RMSprop,150.0,-1.2476195878715968,0.18181818181818182,0.18181818181818182
119,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40]",RMSprop,300.0,-0.08764771751939504,0.3181818181818182,0.2727272727272727
120,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40]",Adam,150.0,0.36995244091426444,0.3181818181818182,0.3181818181818182
121,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40]",Adam,300.0,0.6114407043392173,0.36363636363636365,0.2727272727272727
122,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.5886497546315994,0.4090909090909091,0.36363636363636365
123,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,300.0,0.5929241330443951,0.3409090909090909,0.29545454545454547
124,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40]",Adam,150.0,0.4696142094700499,0.4090909090909091,0.29545454545454547
125,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40]",Adam,300.0,0.5495471695227266,0.3409090909090909,0.3409090909090909
126,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40]",RMSprop,150.0,0.277526075727759,0.2727272727272727,0.22727272727272727
127,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40]",RMSprop,300.0,0.3158874360644312,0.3409090909090909,0.2727272727272727
128,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70]",Adam,150.0,0.2752936051177896,0.18181818181818182,0.1590909090909091
129,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70]",Adam,300.0,0.11062593166872942,0.2727272727272727,0.20454545454545456
130,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70]",RMSprop,150.0,0.44203486681529913,0.2727272727272727,0.25
131,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70]",RMSprop,300.0,0.6148901110891813,0.4090909090909091,0.36363636363636365
132,2.0,mse,"{0: 2, 1: 3, 2: 1}","[40, 10]",Adam,150.0,-4.746170154213357,0.09090909090909091,0.09090909090909091
133,2.0,mse,"{0: 2, 1: 3, 2: 1}","[40, 10]",Adam,300.0,-1.4608070320297413,0.11363636363636363,0.11363636363636363
134,2.0,mse,"{0: 2, 1: 3, 2: 1}","[40, 10]",RMSprop,150.0,-3.3143451309839627,0.11363636363636363,0.06818181818181818
135,2.0,mse,"{0: 2, 1: 3, 2: 1}","[40, 10]",RMSprop,300.0,-2.565503385746811,0.1590909090909091,0.13636363636363635
136,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 40, 10]",Adam,150.0,0.18791608866051274,0.3181818181818182,0.29545454545454547
137,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 40, 10]",Adam,300.0,0.5697161551323999,0.3409090909090909,0.29545454545454547
138,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,150.0,0.33979733053553934,0.3181818181818182,0.2727272727272727
139,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.25361598171888244,0.3181818181818182,0.2727272727272727
140,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,150.0,0.44195198570850636,0.38636363636363635,0.3409090909090909
141,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,300.0,0.37830183984043203,0.29545454545454547,0.2727272727272727
142,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.7552933705408658,0.4772727272727273,0.4090909090909091
143,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.6215696751403013,0.36363636363636365,0.3181818181818182
144,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 40, 10]",Adam,150.0,-0.35205747217565064,0.20454545454545456,0.18181818181818182
145,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 40, 10]",Adam,300.0,0.007908490001178159,0.20454545454545456,0.18181818181818182
146,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,150.0,-0.8073186628771163,0.25,0.25
147,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,300.0,-0.02881107719444731,0.3409090909090909,0.3409090909090909
148,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 10]",Adam,150.0,0.2130609415761151,0.18181818181818182,0.11363636363636363
149,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 10]",Adam,300.0,0.05830513032425211,0.22727272727272727,0.22727272727272727
150,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 10]",RMSprop,150.0,-0.14096732527467393,0.2727272727272727,0.22727272727272727
151,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 10]",RMSprop,300.0,0.5309657870458464,0.3409090909090909,0.25
152,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 70, 10]",Adam,150.0,-0.42973927850503735,0.20454545454545456,0.20454545454545456
153,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 70, 10]",Adam,300.0,0.31302158033781236,0.22727272727272727,0.22727272727272727
154,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,150.0,-0.2007106285414858,0.13636363636363635,0.13636363636363635
155,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,300.0,0.5015388071841815,0.20454545454545456,0.13636363636363635
156,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 10]",Adam,150.0,-0.40135396111840804,0.22727272727272727,0.18181818181818182
157,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 10]",Adam,300.0,-0.007274046660904532,0.25,0.1590909090909091
158,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 10]",RMSprop,150.0,-1.69175370750556,0.18181818181818182,0.1590909090909091
159,2.0,mse,"{0: 2, 1: 3, 2: 1}","[100, 10]",RMSprop,300.0,-0.8037186151369509,0.25,0.22727272727272727
160,2.0,mse,"{0: 2, 1: 3, 2: 1}","[70, 40]",Adam,150.0,-1.9675004579685305,0.1590909090909091,0.13636363636363635
